"","created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url"
"77","Fri Oct 20 09:21:51 +0000 2023","1.7152972639527E+18","@cgaretsaftrmeal @jefrinichol @HlGHTHERAPY badada panggilkan tukang parkir Makassar sj kak 😭😭😭","0","0","0","0","in","1.2691077918362E+18","1.7146931893688E+18","winxxaa","https://twitter.com/winxxaa/status/1715297263952724225"
"78","Fri Oct 20 09:21:46 +0000 2023","1.7152972445122E+18","lg makan siang tiba2 dapet surat cinta😍 dari hamba allah"" https://t.co/5A89R9Hs5p""","1","3","23","20","in","2757352768","1.7152972445122E+18","Kunti_enak","https://twitter.com/Kunti_enak/status/1715297244512170052"
"79","Fri Oct 20 09:20:39 +0000 2023","1.7152969628311E+18","Personel Subden Composite Detasemen Gegana Satbrimobda Sulsel melaksanakan kegiatan sterilisasi di Gelora BJ. Habibie Kota Makassar dalam rangka PSM BRI liga 1 antara PSM Makassar VS Arema Malang . #BrimobUntukIndonesia🇮🇩 #pengabdiangeganauntukindonesia🇮🇩 https://t.co/3fykHta8n4","0","0","0","0","in","1.2148048483417E+18","1.7152969628311E+18","gegana_panrita","https://twitter.com/gegana_panrita/status/1715296962831126625"
"80","Fri Oct 20 09:20:35 +0000 2023","1.7152969464104E+18","from bali #Makassar #bali https://t.co/3IacRnTaYT","0","0","0","1","en","1.6730264842594E+18","1.7152969464104E+18","saputra_an42339","https://twitter.com/saputra_an42339/status/1715296946410356798"
"81","Fri Oct 20 09:20:17 +0000 2023","1.7152968734044E+18","17.19 Perintis - Asrama Haji arus lalin terpantau ramai lancar. Tetap tertib bergantian arus di persimpangan jalan. #CCTVDiskominfoMKS *rk https://t.co/CuiO0eQ8Bj","0","0","0","0","in","2476319472","1.7152968734044E+18","DiskominfoMKS","https://twitter.com/DiskominfoMKS/status/1715296873404411911"
"82","Fri Oct 20 09:18:36 +0000 2023","1.7152964494861E+18","Asli, seneng banget ada di event ini. Aku butuh season 2 nya lebih keren lagi  Ayo guys datang ke next roadshow Palembang 22 Oktober, dan akan ada juga di kota Bandung, Surabaya, Semarang, Makassar, Malang. #WAMproject2023 #WeAreMore #XLxKaskusMedan @myXL https://t.co/Iw3u5TCuHd","0","0","0","0","in","1.6413298963866E+18","1.7152964494861E+18","JulitaSinergi","https://twitter.com/JulitaSinergi/status/1715296449486070122"
"83","Fri Oct 20 09:18:14 +0000 2023","1.7152963535497E+18","Jejak Sejarah Societeit De Harmonie Makassar: IDenesia Daily - Warga kota Makassar tentu tak asing lagi dengan Gedung Kesenian atau yang juga dikenal dengan sebutan Societeit De Harmonie yang terletak di Jalan Riburane. Gedung tua yang didirikan tahun… https://t.co/zXtfy7zY0Z","0","0","0","0","in","1.5408799018004E+18","1.7152963535497E+18","idenesiaid","https://twitter.com/idenesiaid/status/1715296353549709449"
"84","Fri Oct 20 09:18:10 +0000 2023","1.7152963397044E+18","Kelembapan Udara di Makassar Menurun, Ini Dampaknya: IDenesia Today - Musim kemarau yang berkepanjangan membuat kelembapan udara di kota Makassar dan sekitarnya menurun hingga 50%, apa penyebab dan dampaknya? Berikut liputannya! https://t.co/sMYVRypj8P","0","0","0","0","in","1.5408799018004E+18","1.7152963397044E+18","idenesiaid","https://twitter.com/idenesiaid/status/1715296339704393798"
"85","Fri Oct 20 09:16:12 +0000 2023","1.7152958434049E+18","@jefrinichol @Cintakuosh @aswin_permadi18 @cgaretsaftrmeal @HlGHTHERAPY Ditunggu di makassar tuh dah di bilangin ke bokapnya, yakali lu ga kesana","0","0","0","1","in","508794745","1.7146931893688E+18","dhiki_100","https://twitter.com/dhiki_100/status/1715295843404906817"
"86","Fri Oct 20 09:16:12 +0000 2023","1.7152958423144E+18","@jefrinichol Jep jadi kaga ke makassar nya?","0","0","0","0","in","1.242420315466E+18","1.7150047281225E+18","D_cchn","https://twitter.com/D_cchn/status/1715295842314444951"
