"Unnamed: 0","created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","Kata","Tokenized Text"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","resmi","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","X","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","Twitter","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","PLN","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","123","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","menggunakan","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","akun","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","ini","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","dan","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
"0","Fri Oct 20 11:14:12 +0000 2023","","adhielv PLN_Makassar adhielv  Admin juga sampaikan mohon lebih berhatihati terhadap akun palsu yang mengatasnamakan akun PLN 123 ya Kak Akun resmi X Twitter PLN 123 menggunakan akun ini dan sudah terverifikasi Trims Riko 22","0","0","0","0","in","","","pln_123","","sudah","['adhielv', 'PLN_Makassar', 'adhielv', 'Admin', 'juga', 'sampaikan', 'mohon lebih', 'berhatihati', 'terhadap akun palsu yang mengatasnamakan akun', 'PLN', '123', 'ya', 'Kak', 'Akun', 'resmi', 'X', 'Twitter', 'PLN', '123', 'menggunakan akun ini dan sudah', 'terverifikasi', 'Trims', 'Riko', '22']"
